,웹툰이름,썸네일경로,웹툰디테일경로,집단,x,y,군집
35,어쌔신 크리드 - 잊혀진 사원,https://image-comic.pstatic.net/webtoon/808760/thumbnail/thumbnail_IMAG21_41bce5b2-aa2a-4186-94ea-22bf8b37488a.jpg,https://comic.naver.com/webtoon/list?titleId=808760,0,-4.791503429412842,-3.939915418624878,0.0
36,서브 남주가 파업하면 생기는 일,https://image-comic.pstatic.net/webtoon/803518/thumbnail/thumbnail_IMAG21_32d146f5-7e22-4fe4-bc73-92b2e446d7f7.jpg,https://comic.naver.com/webtoon/list?titleId=803518,3,2.7317545413970947,-0.3249065577983856,3.0
37,쥴리에타의 드레스 업,https://image-comic.pstatic.net/webtoon/808711/thumbnail/thumbnail_IMAG21_d0fb6e8e-bae0-4561-b537-bd84a6b3cb09.jpg,https://comic.naver.com/webtoon/list?titleId=808711,2,-2.376976728439331,3.6832380294799805,2.0
38,꿈의 기업,https://image-comic.pstatic.net/webtoon/687915/thumbnail/thumbnail_IMAG21_d46ad6b8-e9a8-4bc8-b501-e62adfee0eb6.jpg,https://comic.naver.com/webtoon/list?titleId=687915,3,4.469151973724365,-4.689930438995361,3.0
39,오빠집이 비어서,https://image-comic.pstatic.net/webtoon/780414/thumbnail/thumbnail_IMAG21_fc2621b0-84c3-404d-a18d-5925dba6ab77.jpg,https://comic.naver.com/webtoon/list?titleId=780414,1,-0.11389753967523575,5.823584079742432,1.0
40,러브 똘츄얼리,https://image-comic.pstatic.net/webtoon/811129/thumbnail/thumbnail_IMAG21_1a8fbb34-0add-4b60-97ed-d51db4cc3361.jpg,https://comic.naver.com/webtoon/list?titleId=811129,3,2.4515974521636963,-3.0453333854675293,3.0
41,수영만화일기,https://image-comic.pstatic.net/webtoon/768534/thumbnail/thumbnail_IMAG21_25248bb7-e4d2-41ea-b011-9553c343330b.jpg,https://comic.naver.com/webtoon/list?titleId=768534,3,5.741567134857178,-1.4062548875808716,3.0
42,강남의 기사,https://image-comic.pstatic.net/webtoon/802865/thumbnail/thumbnail_IMAG21_9c102547-7b81-4dbb-9b8f-e7e852b31a88.jpg,https://comic.naver.com/webtoon/list?titleId=802865,2,-2.9168992042541504,6.8074235916137695,2.0
43,사이다걸,https://image-comic.pstatic.net/webtoon/800333/thumbnail/thumbnail_IMAG21_bc491ae3-1eb3-40e3-b332-096f164c6bcb.jpg,https://comic.naver.com/webtoon/list?titleId=800333,3,4.408043384552002,-0.8338586688041687,3.0
44,아슈타르테,https://image-comic.pstatic.net/webtoon/798277/thumbnail/thumbnail_IMAG21_7295ad46-853c-4bd9-8ddf-0c2367734813.jpg,https://comic.naver.com/webtoon/list?titleId=798277,2,-2.8595657348632812,6.7592034339904785,2.0
45,사랑의 헌옷수거함,https://image-comic.pstatic.net/webtoon/758667/thumbnail/thumbnail_IMAG21_3689910875657090614.jpg,https://comic.naver.com/webtoon/list?titleId=758667,4,2.171764612197876,-3.0671439170837402,4.0
46,칼가는 소녀,https://image-comic.pstatic.net/webtoon/730174/thumbnail/thumbnail_IMAG21_301ca9ab-3938-4028-832c-48febddd6cf7.jpg,https://comic.naver.com/webtoon/list?titleId=730174,1,-0.7685869932174683,1.0324159860610962,1.0
47,헬크래프트,https://image-comic.pstatic.net/webtoon/800034/thumbnail/thumbnail_IMAG21_a340a6df-b77c-436a-a729-70927915634d.jpg,https://comic.naver.com/webtoon/list?titleId=800034,2,-4.344250679016113,2.9589455127716064,2.0
48,우산 없는 애,https://image-comic.pstatic.net/webtoon/796059/thumbnail/thumbnail_IMAG21_dacecec6-8bea-47b2-b91a-3a1bb19fae21.jpg,https://comic.naver.com/webtoon/list?titleId=796059,2,-3.653404951095581,6.23077917098999,2.0
49,매지컬 급식:암살법사,https://image-comic.pstatic.net/webtoon/791062/thumbnail/thumbnail_IMAG21_d358a9ab-09bc-436b-8a77-076cae2ea8d1.jpg,https://comic.naver.com/webtoon/list?titleId=791062,1,0.7954286336898804,4.617656707763672,1.0
50,하루의 하루,https://image-comic.pstatic.net/webtoon/774302/thumbnail/thumbnail_IMAG21_4121973654889457249.jpg,https://comic.naver.com/webtoon/list?titleId=774302,3,3.2266924381256104,-2.8520195484161377,3.0
51,피폐물의 해피엔딩을 위하여,https://image-comic.pstatic.net/webtoon/805437/thumbnail/thumbnail_IMAG21_e830e751-20be-4c57-a6ff-f299588d05b6.jpg,https://comic.naver.com/webtoon/list?titleId=805437,2,-2.9461123943328857,3.351193428039551,2.0
52,랭커,https://image-comic.pstatic.net/webtoon/801827/thumbnail/thumbnail_IMAG21_46875d4a-190f-4663-bac5-0d3003263646.jpg,https://comic.naver.com/webtoon/list?titleId=801827,0,-6.350204944610596,0.2216249704360962,0.0
53,라서드,https://image-comic.pstatic.net/webtoon/756140/thumbnail/thumbnail_IMAG21_7c527b6e-773f-40c8-aa1a-5cbd9e7dc482.jpg,https://comic.naver.com/webtoon/list?titleId=756140,4,-1.4014124870300293,-1.9363311529159546,4.0
54,입술이 예쁜 남자,https://image-comic.pstatic.net/webtoon/791629/thumbnail/thumbnail_IMAG21_4122541015824753209.jpg,https://comic.naver.com/webtoon/list?titleId=791629,1,1.6888949871063232,1.5088387727737427,1.0
55,경비실에서 안내방송 드립니다,https://image-comic.pstatic.net/webtoon/792780/thumbnail/thumbnail_IMAG21_3617014355049527398.jpg,https://comic.naver.com/webtoon/list?titleId=792780,4,0.5957080125808716,-1.557419776916504,4.0
56,너를 돌려차는 방법,https://image-comic.pstatic.net/webtoon/802551/thumbnail/thumbnail_IMAG21_04fdcd36-c440-4feb-8b3d-573b3584a32f.jpg,https://comic.naver.com/webtoon/list?titleId=802551,3,3.123553991317749,-2.872779607772827,3.0
57,고백어택,https://image-comic.pstatic.net/webtoon/807397/thumbnail/thumbnail_IMAG21_d0a7cee2-4ded-4506-aedf-71c25675247c.jpg,https://comic.naver.com/webtoon/list?titleId=807397,1,2.380218505859375,4.148194789886475,1.0
58,영앤리치가 아니야!,https://image-comic.pstatic.net/webtoon/734574/thumbnail/thumbnail_IMAG21_8688bbf6-1067-465b-9070-4fef7c1ab1cd.jpg,https://comic.naver.com/webtoon/list?titleId=734574,3,2.651352882385254,-2.678433895111084,3.0
59,원하나,https://image-comic.pstatic.net/webtoon/804469/thumbnail/thumbnail_IMAG21_58ca8ef5-6656-45c4-9ad8-45750c2bf575.jpg,https://comic.naver.com/webtoon/list?titleId=804469,0,-6.795843124389648,2.552377462387085,0.0
60,도깨비 부른다,https://image-comic.pstatic.net/webtoon/800618/thumbnail/thumbnail_IMAG21_0e4be823-3c99-480c-923a-eaa554b46646.jpg,https://comic.naver.com/webtoon/list?titleId=800618,4,-0.9992298483848572,-2.6746010780334473,4.0
61,주작연애,https://image-comic.pstatic.net/webtoon/802854/thumbnail/thumbnail_IMAG21_8acfafa7-d1db-42fa-9e01-3b7500650e11.jpg,https://comic.naver.com/webtoon/list?titleId=802854,2,-5.462896823883057,3.407721757888794,2.0
62,파견체,https://image-comic.pstatic.net/webtoon/791256/thumbnail/thumbnail_IMAG21_3833187132113172581.jpg,https://comic.naver.com/webtoon/list?titleId=791256,3,4.92377233505249,-4.524850845336914,3.0
63,악당과 악당이 만나면,https://image-comic.pstatic.net/webtoon/804782/thumbnail/thumbnail_IMAG21_f09967ec-e4e8-4fb8-a8d5-a65db4c6e14e.jpg,https://comic.naver.com/webtoon/list?titleId=804782,2,-4.778158664703369,6.898911952972412,2.0
